time_s,centroid_deviation
0.03,-0.4737731
0.157,-0.4737422
0.28,-0.364134
0.407,-0.1487584
0.53,-0.0757392
0.657,0.191913
0.78,0.2676099
0.907,0.5918012
1.03,0.5699046
1.157,0.5974378
1.28,0.4068019
1.407,0.2267926
1.53,0.2198377
1.657,0.1850643
1.78,0.1740971
1.904,0.1850834
2.03,0.2028967
2.156,0.1884864
2.28,0.1821909
2.407,0.2139606
2.53,0.2827068
2.657,0.2917926
2.78,0.2913312
2.907,0.3412373
3.03,0.2600216
3.157,0.2457822
3.28,0.2392101
3.407,0.2588084
3.53,0.2419408
3.657,0.1859831
3.78,0.1853373
3.907,0.1564583
4.03,0.1530399
4.157,0.171528
4.28,0.2261199
4.407,0.2652968
4.53,0.2965624
4.657,0.3359006
4.78,0.2825031
4.907,0.2894243
5.03,0.3010608
5.157,0.2689854
5.28,0.2664738
5.407,0.2427561
5.53,0.2803265
5.662,0.2541106
5.78,0.2073226
5.913,0.2304489
6.03,0.1648126
6.163,0.2026496
6.281,0.2123536
6.411,0.1889527
6.53,0.1593848
6.662,0.1654194
6.781,0.14738
6.912,0.1661358
7.031,0.156427
7.161,0.1738379
7.28,0.1803764
7.411,0.1592896
7.53,0.1466527
7.661,0.1638529
7.78,0.1657068
7.909,0.1686671
8.03,0.2944857
8.156,0.3426475
8.28,0.2906857
8.405,0.2918122
8.53,0.2891784
8.655,0.1696099
8.781,0.1644069
8.906,0.1882794
9.03,0.1729193
9.156,0.1423002
9.28,0.2158789
9.406,0.3300561
9.531,0.3435042
9.655,0.3269466
9.781,0.353399
9.906,0.2669853
10.03,0.2317206
10.156,0.2317895
10.281,0.1865011
10.406,0.1863199
10.53,0.1574853
10.655,0.1488698
10.78,0.1468527
10.906,0.1531411
11.03,0.1669397
11.156,0.1579617
11.281,0.1665952
11.405,0.1563108
11.531,0.232445
11.656,0.2482392
11.78,0.2976468
11.906,0.2922485
12.031,0.2266918
12.156,0.2005112
12.281,0.2329536
12.406,0.22859
12.53,0.1715538
12.655,0.1396778
12.781,0.1435772
12.906,0.1619208
13.03,0.1508342
13.155,0.174437
13.28,0.1955023
13.407,0.2860722
13.53,0.2485106
13.656,0.1889516
13.781,0.2557099
13.906,0.1975066
14.031,0.2292489
14.156,0.2135084
14.28,0.1692837
14.406,0.1657343
14.531,0.2133472
14.657,0.2195126
14.78,0.2006482
14.907,0.180369
15.03,0.1614019
15.157,0.2157724
15.28,0.251809
15.407,0.284805
15.535,0.2456816
15.657,0.2218209
15.786,0.1705701
15.906,0.157275
16.036,0.1675529
16.156,0.191161
16.284,0.2025098
16.407,0.1706255
16.532,0.1636814
16.657,0.1829645
16.78,0.1671657
16.906,0.2005153
17.03,0.2591161
17.157,0.3060363
17.28,0.2866851
17.406,0.2065093
17.53,0.1641076
17.657,0.1806192
17.78,0.1898415
17.907,0.2265379
18.03,0.2096416
18.157,0.2652876
18.28,0.2067709
18.407,0.2048302
18.53,0.2091405
18.657,0.1635788
18.78,0.1705686
18.907,0.1755043
19.03,0.1495519
19.156,0.1514332
19.28,0.1434923
19.407,0.1360189
19.53,0.1503247
19.657,0.155079
19.78,0.166473
19.907,0.1606498
20.03,0.1532665
20.157,0.1600782
20.28,0.1572939
20.407,0.1456368
20.53,0.1417599
20.657,0.133791
20.78,0.1303977
20.907,0.1502807
21.03,0.1425192
21.154,0.1437623
21.28,0.134612
21.407,0.2039294
21.53,0.2491103
21.657,0.2939234
21.78,0.2426913
21.907,0.1832334
22.03,0.1362124
22.157,0.1872102
22.28,0.2494918
22.407,0.2402938
22.53,0.185975
22.657,0.260721
22.78,0.148606
22.904,0.1363854
23.03,0.1399982
23.157,0.1370044
23.28,0.130037
23.407,0.1244173
23.53,0.1098089
23.657,0.1125978
23.781,0.197001
23.907,0.2704374
24.031,0.2147149
24.157,0.2236563
24.28,0.1769924
24.407,0.1382206
24.53,0.1677678
24.657,0.1495801
24.781,0.1519068
24.907,0.1241666
25.03,0.1783962
25.157,0.1777265
25.28,0.1783516
25.407,0.181683
25.53,0.1896814
25.657,0.1809114
25.78,0.1401126
25.907,0.152667
26.03,0.1344668
26.157,0.1403943
26.281,0.162997
26.407,0.168386
26.53,0.1687179
26.654,0.1635947
26.78,0.1559855
26.907,0.1528169
27.03,0.1645725
27.157,0.1500157
27.281,0.1537418
27.407,0.1564911
27.53,0.1873997
27.662,0.1752514
27.78,0.1839727
27.912,0.1683326
